account,name,src,value,Notes,Check Eng,,,,,,1
account,analytic.entries.report,    7 Days    ,    7 jours    ,,,,,,,,
account,analytic.entries.report,   30 Days   ,   30 Jours   ,,,,,,,,
account,analytic.entries.report,  365 Days  ,  365 jours  ,,,,,,,,
account,account.payment.term.line,  day of the month: 0,  jour du mois : 0,,,,,,,,
account,account.payment.term.line,  day of the month= -1,  jour du mois = -1,,,,,,,,
account,account.payment.term.line,  number of days: 14,  nombre de jours : 14,,,,,,,,
account,account.payment.term.line,  number of days: 30,  nombre de jours : 30,,,,,,,,
account,account.payment.term.line,  valuation: balance,  valorisation : solde,,,,,,,,
account,account.payment.term.line,  valuation: percent,  valorisation : pourcentage,,,,,,,,
account,account.payment.term.line,  value amount: 0.02," valeur du montant : 0,02",,,,,,,,
account,account.payment.term.line,  value amount: n.a, valeur du montant : pas applicable,,,,,,,,
account,"account.invoice,state","* The 'Draft' state is used when a user is encoding a new and unconfirmed Invoice.             
* The 'Pro-forma' when invoice is in Pro-forma state,invoice does not have an invoice number.             
* The 'Open' state is used when user create invoice,a invoice number is generated.Its in open state till user does not pay invoice.             
* The 'Paid' state is set automatically when invoice is paid.            
* The 'Cancelled' state is used when user cancel invoice."," * Le statut de «Brouillon» est utilisé par l'utilisateur pour saisir une nouvelle facture qui n'est pas encore confirmée.
* Le statut «Pro-forma» est utilisé lorsque la facture est Pro-forma, la facture n'a pas encore de numéro de facture.
* Le statut «Ouvert » est utilisé lorsqu'une facture vient dêtre validée. Un numéro de facture est alors généré. La facture reste sous statut ""Ouvert"" tant qu'elle n'est pas réglée.
* Le statut «Payé» est configurée lorsqu'une facture est réglée
* Le statut «Annulé» est utilisé lorsque l'utilisateur annule la facture.",,,,,,,,
account,addons/account/installer.py, Journal, Journal,,,,,,,,
account,"wizard.multi.charts.accounts,code_digits",# of Digits,Nombre de Chiffres,,,,,,,,
account,account.entries.report,# of Entries ,Nombre d'Ecritures ,,,,,,,,
account,"account.entries.report,nbr",# of Items,Nombre d'Articles,,,,,,,,
account,account.invoice.report,# of Lines,Nombre de Lignes,,,,,,,,
account,account.entries.report,# of Products  ,Qté de produits ,,,,,,,,
account,"account.move.line.reconcile,trans_nbr",# of Transaction,Nombre de transactions,,,,,,,,
account,"analytic.entries.report,nbr",#Entries,Nombre d'Ecritures,,,,,,,,
account,account.tax.code.entries,(,(,,,,,,,,
account,account.partner.balance,(Account/Partner) Name,Nom (Compte/Partenaire),,,,,,,,
